cod_rock Litologia prof dens gama res vel
7.00e+00 marga1 3.34e+00 2.79e+00 7.69e+01 3.26e+00 5.87e+01
7.00e+00 marga1 3.41e+00 2.78e+00 7.75e+01 8.56e+00 7.31e+01
7.00e+00 marga1 3.48e+00 2.78e+00 8.23e+01 6.04e+00 7.06e+01
7.00e+00 marga1 3.55e+00 2.83e+00 8.47e+01 6.35e+00 6.58e+01
7.00e+00 marga1 3.62e+00 2.80e+00 7.18e+01 1.80e+00 5.32e+01
7.00e+00 marga1 3.69e+00 2.65e+00 8.10e+01 1.20e+00 6.09e+01
7.00e+00 marga1 3.76e+00 2.71e+00 8.24e+01 1.37e+00 4.85e+01
7.00e+00 marga1 3.83e+00 2.69e+00 8.42e+01 4.76e+00 6.52e+01
7.00e+00 marga1 3.90e+00 2.56e+00 7.99e+01 4.69e+00 5.81e+01
7.00e+00 marga1 3.98e+00 2.51e+00 9.58e+01 1.14e+00 8.67e+01
7.00e+00 marga1 4.05e+00 2.82e+00 8.04e+01 3.90e+00 7.74e+01
7.00e+00 marga1 4.12e+00 2.79e+00 8.58e+01 1.49e+00 7.16e+01
7.00e+00 marga1 4.19e+00 2.62e+00 7.80e+01 2.72e+00 7.29e+01
7.00e+00 marga1 4.26e+00 2.57e+00 7.27e+01 2.20e+00 5.10e+01
7.00e+00 marga1 4.33e+00 2.78e+00 7.64e+01 1.40e+00 7.55e+01
7.00e+00 marga1 4.40e+00 2.54e+00 8.67e+01 1.15e+00 7.08e+01
7.00e+00 marga1 4.47e+00 2.69e+00 8.09e+01 6.73e+00 5.59e+01
7.00e+00 marga1 4.54e+00 2.84e+00 7.42e+01 1.83e+00 1.01e+02
7.00e+00 marga1 4.62e+00 2.85e+00 8.12e+01 9.22e-01 7.19e+01
7.00e+00 marga1 4.69e+00 2.84e+00 8.20e+01 3.24e+00 4.73e+01
7.00e+00 marga1 4.76e+00 2.80e+00 8.41e+01 2.64e+00 5.18e+01
7.00e+00 marga1 4.83e+00 2.87e+00 7.58e+01 1.29e+00 5.83e+01
7.00e+00 marga1 4.90e+00 2.79e+00 8.05e+01 5.79e+00 8.41e+01
7.00e+00 marga1 4.97e+00 2.76e+00 7.58e+01 7.09e+00 4.90e+01
7.00e+00 marga1 5.04e+00 2.71e+00 7.68e+01 4.60e+00 5.98e+01
7.00e+00 marga1 5.11e+00 2.66e+00 9.11e+01 4.59e+00 6.19e+01
7.00e+00 marga1 5.18e+00 2.74e+00 6.94e+01 3.08e+00 9.30e+01
7.00e+00 marga1 5.26e+00 2.93e+00 8.32e+01 3.54e+00 5.57e+01
7.00e+00 marga1 5.33e+00 2.66e+00 8.05e+01 3.27e+00 3.04e+01
7.00e+00 marga1 5.40e+00 2.84e+00 8.30e+01 4.19e+00 7.28e+01
7.00e+00 marga1 5.47e+00 2.84e+00 7.88e+01 6.19e+00 6.30e+01
